gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
0610005C13Rik	0.8810697	0.4575605	0.94679036	0.1844175	0.2773517
0610009E02Rik	6.650712	0.7689689	0.61600084	0.0270988	0.04967431
0610009L18Rik	13.03969	0.8893894	0.5118952	0.006819846	0.0137489
0610010K14Rik	748.5418	-0.2675821	0.067106	5.057234e-05	0.0001267593
0610030E20Rik	815.1575	-0.3009916	0.06891072	8.928414e-06	2.387679e-05
0610038B21Rik	2.606977	-0.7101249	0.88514249	0.06722696	0.1138518
0610039H22Rik	0.4996757	0.3233202	0.97734287	0.3035163	NA
0610039K10Rik	3.631723	1.031397	0.97062941	0.02300989	0.04275217
0610040B10Rik	3.619356	0.5235526	0.6525515	0.1093731	0.1761952
0610040F04Rik	10.08292	-0.3183478	0.44737038	0.2390805	0.3452995
0610040J01Rik	2197.19	0.06230039	0.04461006	0.159453	0.2447874
0610042G04Rik	313.6457	0.7434837	0.09817288	4.389496e-15	1.951034e-14
0610043K17Rik	0.6382092	0.2301603	0.88415398	0.4383963	0.5597482
1110002E22Rik	5.394062	-0.09255309	0.46377179	0.720739	0.8038233
1110002J07Rik	10.11018	0.3008922	0.40594873	0.2486393	0.3570817
1110002L01Rik	193.2223	0.6068886	0.13185564	1.078262e-06	3.082072e-06
1110002O04Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1110004F10Rik	3840.673	0.01062048	0.03258053	0.743473	0.8219848
1110006O24Rik	22.32493	-0.2121901	0.28546507	0.3403433	0.4594735
1110015O18Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1110018N20Rik	0.7026188	-0.5533503	1.08374585	0.13474	0.2121115
1110019D14Rik	41.01166	0.326209	0.23693236	0.1013363	0.1646356
1110020A21Rik	20.69576	0.2338701	0.30654392	0.3112446	0.4280262
1110025L11Rik	0.4922429	-0.2270682	1.00349906	0.4309458	NA
1110025M09Rik	66.08534	0.7745123	0.20168258	1.217291e-05	3.218775e-05
1110028F11Rik	199.7514	-0.5047932	0.12895348	3.599041e-05	9.145329e-05
1110028F18Rik	0.885789	0.456971	0.9456429	0.1847706	0.2777816
1110032F04Rik	1.505835	0.2270203	0.65669939	0.4312487	0.5528102
1110038B12Rik	1765.281	-0.3500365	0.05554515	1.911005e-10	6.813091e-10
1110038F14Rik	824.9372	-0.002424844	0.06427257	0.9694585	0.9852913
1110046J04Rik	9.863766	0.1744103	0.36428733	0.4790799	0.5966391
