gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
0610005C13Rik	0.2697147	0.009763518	0.6204772	0.9249342	NA
0610009E02Rik	3.72129	-0.0907779	0.3492348	0.3591453	0.5360947
0610009L18Rik	5.882551	-0.09576729	0.32413539	0.3431957	0.5187635
0610010K14Rik	851.0187	0.1686648	0.06630179	0.005153093	0.01623622
0610025J13Rik	0.3097805	0.05851198	0.67797904	0.5939596	NA
0610030E20Rik	871.0087	-0.04276574	0.0620351	0.434837	0.610258
0610038B21Rik	3.614601	-0.04427662	0.32248516	0.6267702	0.7710931
0610039H22Rik	0.1592916	0.0292821	0.64447795	0.7817193	NA
0610039K10Rik	1.442865	0.03012912	0.37970436	0.7327974	0.8430264
0610040B10Rik	2.537943	0.06356739	0.35026879	0.495359	0.6654387
0610040F04Rik	15.69763	0.1391884	0.27729264	0.2112525	0.3656264
0610040J01Rik	1936.335	-0.2784732	0.05032226	5.333993e-09	4.338035e-08
0610042G04Rik	221.3274	-0.0554141	0.10876931	0.5087675	0.6775984
0610043K17Rik	0.4250589	0.04196078	0.55766305	0.6760014	NA
1110002E22Rik	4.162464	-0.1840879	0.46097482	0.1314398	0.2527366
1110002J07Rik	9.545971	0.1281714	0.29800566	0.2400629	0.402011
1110002L01Rik	151.057	0.04465487	0.1217453	0.6141099	0.762701
1110002O04Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1110004F10Rik	3736.925	-0.003427852	0.0356603	0.9157065	0.9531266
1110006O24Rik	19.25732	-0.3232673	0.37465154	0.03469861	0.08513584
1110018N20Rik	1.369423	-0.007834324	0.38411706	0.9283047	0.9604942
1110019D14Rik	31.16603	-0.09860485	0.20013219	0.3343741	0.5089749
1110020A21Rik	16.90591	-0.02461654	0.21499338	0.7959994	0.8839129
1110025L11Rik	0.6772831	-0.0500472	0.54517217	0.6166231	NA
1110025M09Rik	42.87834	-0.07704481	0.17507	0.43395	0.6094025
1110028F11Rik	193.9445	-0.6280272	0.16194148	1.864753e-06	1.110198e-05
1110028F18Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
1110032F04Rik	11.7349	4.537448	0.87698115	5.656403e-08	4.077575e-07
1110038B12Rik	1934.551	0.002988164	0.05045973	0.9476485	0.9715857
1110038F14Rik	1055.415	0.7883422	0.06448082	2.639443e-35	8.955251e-34
1110046J04Rik	8.79581	0.01751577	0.25804599	0.8503319	0.9175774
1110059E24Rik	1598.376	0.1760519	0.05527833	0.0006963254	0.002672043
1110059G10Rik	576.9082	0.009033023	0.07280786	0.8862031	0.9359988
1110065P20Rik	272.5347	-0.3022134	0.12205511	0.001408134	0.005061968
1190005I06Rik	7.900581	-0.2843943	0.49151827	0.05573617	0.1260537
1190028D05Rik	0.5453	-0.09136915	0.63662794	0.4102325	NA
1300002E11Rik	240.9578	0.09291693	0.10562616	0.2618864	0.4281937
1500002C15Rik	8.249643	-0.07606729	0.27554751	0.4428115	0.6181915
1500002F19Rik	3.003771	0.03122186	0.31840536	0.7274663	0.8395468
1500004A13Rik	7.253224	0.1713469	0.3532752	0.1489479	0.2786926
1500009L16Rik	139.5562	1.338792	0.16642395	1.558716e-17	2.481379e-16
1500011B03Rik	252.2759	-0.08856201	0.10125218	0.2720667	0.4404543
1500015A07Rik	88.45179	-0.08956866	0.15161542	0.3539367	0.5304792
1500015L24Rik	14.01536	-0.4877846	0.53396562	0.01361264	0.038181
1500026H17Rik	7.186161	-0.0901068	0.29311851	0.3727409	0.5501193
1500035N22Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
1600002D24Rik	0.8915056	-0.01821577	0.45827835	0.8421984	NA
1600012H06Rik	1136.569	-0.08472602	0.05812742	0.1034594	0.2087599
1600012P17Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
1600014C10Rik	217.5184	0.3061605	0.1317288	0.002015512	0.007003287
1600014C23Rik	61.43503	0.129229	0.17857112	0.2107489	0.3650254
1600020E01Rik	35.40926	0.0292691	0.18848766	0.7597268	0.8617102
1600023N17Rik	9.088074	0.02381901	0.24297874	0.8002027	0.8864521
1600029I14Rik	0.7214844	0.04617183	0.48682859	0.6277334	NA
